Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1582799450.486458,52840,7,0
2,Payment,1582799450.487547,50914,1,0
1,NewOrder,1582799450.488631,62409,0,0
1,NewOrder,1582799450.489714,54487,2,0
1,NewOrder,1582799450.490815,78160,6,0
2,Payment,1582799450.491915,51229,1,0
1,NewOrder,1582799450.493003,67127,7,0
2,Payment,1582799450.493008,62473,4,0
1,NewOrder,1582799450.494091,60455,9,0
1,NewOrder,1582799450.495172,58610,1,0
1,NewOrder,1582799450.496253,60609,2,0
1,NewOrder,1582799450.497340,61915,0,0
2,Payment,1582799450.498428,65466,8,0
2,Payment,1582799450.499509,58918,1,0
1,NewOrder,1582799450.500592,63006,9,0
2,Payment,1582799450.501678,64616,5,0
1,NewOrder,1582799450.502762,88664,4,0
2,Payment,1582799450.503847,64616,2,0
1,NewOrder,1582799450.504941,62985,1,0
1,NewOrder,1582799450.504952,62973,0,0
1,NewOrder,1582799450.506089,70794,7,0
1,NewOrder,1582799450.507180,64501,9,0
1,NewOrder,1582799450.508309,75078,8,0
1,NewOrder,1582799450.509591,70143,5,0
1,NewOrder,1582799450.510682,63053,0,0
2,Payment,1582799450.511963,60867,1,0
1,NewOrder,1582799450.511969,67246,2,0
1,NewOrder,1582799450.513056,67348,6,0
2,Payment,1582799450.514145,65105,9,0
1,NewOrder,1582799450.515451,64081,1,0
2,Payment,1582799450.516543,62496,0,0
3,OrderStatus,1582799450.517636,75654,7,0
1,NewOrder,1582799450.518778,70517,0,0
1,NewOrder,1582799450.519865,69733,2,0
1,NewOrder,1582799450.520951,68736,9,0
1,NewOrder,1582799450.520956,67874,1,0
1,NewOrder,1582799450.522040,74496,5,0
1,NewOrder,1582799450.523258,92576,6,0
5,StockLevel,1582799450.524509,81883,8,0
2,Payment,1582799450.525598,68614,1,0
1,NewOrder,1582799450.526692,77515,0,0
2,Payment,1582799450.527844,67178,2,0
2,Payment,1582799450.528935,65322,9,0
2,Payment,1582799450.528947,66966,4,0
1,NewOrder,1582799450.530039,87100,7,0
1,NewOrder,1582799450.531135,81247,1,0
1,NewOrder,1582799450.532223,75639,9,0
2,Payment,1582799450.533319,78907,2,0
1,NewOrder,1582799450.534420,80095,4,0
3,OrderStatus,1582799450.535518,65585,5,0
1,NewOrder,1582799450.536607,76827,5,0
1,NewOrder,1582799450.537701,75733,0,0
1,NewOrder,1582799450.538791,90766,8,0
4,Delivery,1582799450.539842,124950,9,0
2,Payment,1582799450.540933,75775,2,0
4,Delivery,1582799450.540944,114525,1,0
2,Payment,1582799450.542032,79640,5,0
4,Delivery,1582799450.543124,114491,0,0
2,Payment,1582799450.544213,75323,4,0
1,NewOrder,1582799450.545390,102428,6,0
2,Payment,1582799450.546480,85111,2,0
4,Delivery,1582799450.547571,163494,7,0
1,NewOrder,1582799450.548662,89433,4,0
2,Payment,1582799450.549751,87891,3,0
2,Payment,1582799450.550836,80885,5,0
1,NewOrder,1582799450.551926,101986,8,0
2,Payment,1582799450.551937,84072,2,0
2,Payment,1582799450.553021,87873,5,0
5,StockLevel,1582799450.554108,88119,2,0
1,NewOrder,1582799450.555199,114014,3,0
1,NewOrder,1582799450.556326,113048,4,0
5,StockLevel,1582799450.557416,98099,5,0
2,Payment,1582799450.558506,87354,2,0
2,Payment,1582799450.559598,103549,2,0
1,NewOrder,1582799450.560690,109780,6,0
2,Payment,1582799450.562000,103671,8,0
1,NewOrder,1582799450.562005,109721,1,0
1,NewOrder,1582799450.563108,129373,5,0
4,Delivery,1582799450.564203,148470,0,0
2,Payment,1582799450.565298,101815,2,0
1,NewOrder,1582799450.566526,123371,9,0
2,Payment,1582799450.567616,109532,8,0
1,NewOrder,1582799450.568710,125629,2,0
2,Payment,1582799450.569814,108043,3,0
1,NewOrder,1582799450.570919,115554,4,0
1,NewOrder,1582799450.572012,112177,6,0
2,Payment,1582799450.572017,104426,1,0
2,Payment,1582799450.573242,108007,1,0
1,NewOrder,1582799450.574338,112577,8,0
1,NewOrder,1582799450.575435,112633,3,0
2,Payment,1582799450.576534,109895,1,0
2,Payment,1582799450.577650,112941,6,0
1,NewOrder,1582799450.578755,122975,1,0
2,Payment,1582799450.579835,111513,4,0
1,NewOrder,1582799450.580967,120140,8,0
1,NewOrder,1582799450.580972,126644,3,0
1,NewOrder,1582799450.582066,125119,9,0
1,NewOrder,1582799450.583160,127903,6,0
1,NewOrder,1582799450.584254,138776,4,0
1,NewOrder,1582799450.585347,121427,5,0
1,NewOrder,1582799450.586448,125786,2,0
2,Payment,1582799450.587543,118827,8,0
2,Payment,1582799450.588635,117618,1,0
2,Payment,1582799450.589729,121534,1,0
1,NewOrder,1582799450.590830,121385,8,0
2,Payment,1582799450.591923,119895,5,0
1,NewOrder,1582799450.591935,149276,9,0
1,NewOrder,1582799450.593027,137472,3,0
2,Payment,1582799450.594124,128831,7,0
1,NewOrder,1582799450.595220,133637,6,0
1,NewOrder,1582799450.596373,129563,1,0
4,Delivery,1582799450.597468,180362,5,0
1,NewOrder,1582799450.598564,130298,8,0
2,Payment,1582799450.599657,124470,2,0
2,Payment,1582799450.600752,124271,0,0
4,Delivery,1582799450.601837,200404,7,0
1,NewOrder,1582799450.602932,147491,4,0
1,NewOrder,1582799450.602942,148200,2,0
1,NewOrder,1582799450.604045,156459,0,0
1,NewOrder,1582799450.605138,130042,1,0
5,StockLevel,1582799450.606231,135522,6,0
4,Delivery,1582799450.607325,171605,8,0
4,Delivery,1582799450.608418,187235,3,0
2,Payment,1582799450.609513,129585,1,0
1,NewOrder,1582799450.610620,142387,1,0
1,NewOrder,1582799450.611727,149238,9,0
2,Payment,1582799450.612826,136907,6,0
1,NewOrder,1582799450.613918,159911,6,0
1,NewOrder,1582799450.615018,164759,4,0
1,NewOrder,1582799450.615023,150231,2,0
5,StockLevel,1582799450.616112,154498,1,0
1,NewOrder,1582799450.617209,160644,0,0
2,Payment,1582799450.618310,152414,9,0
2,Payment,1582799450.619411,152044,2,0
1,NewOrder,1582799450.620512,187389,1,0
2,Payment,1582799450.621640,164354,9,0
2,Payment,1582799450.622739,165483,2,0
1,NewOrder,1582799450.623845,173044,6,0
1,NewOrder,1582799450.624941,183920,5,0
2,Payment,1582799450.624953,163910,0,0
2,Payment,1582799450.626086,158200,8,0
2,Payment,1582799450.627180,156711,4,0
2,Payment,1582799450.628271,163553,4,0
3,OrderStatus,1582799450.629369,160381,8,0
2,Payment,1582799450.630483,161032,9,0
2,Payment,1582799450.631584,160914,2,0
1,NewOrder,1582799450.632680,191552,0,0
2,Payment,1582799450.633775,161148,8,0
1,NewOrder,1582799450.634862,185689,9,0
3,OrderStatus,1582799450.635961,162881,4,0
1,NewOrder,1582799450.635966,163871,2,0
1,NewOrder,1582799450.637098,171237,8,0
2,Payment,1582799450.638199,168913,3,0
4,Delivery,1582799450.639471,230086,6,0
1,NewOrder,1582799450.640576,191830,4,0
2,Payment,1582799450.641677,165432,2,0
1,NewOrder,1582799450.642778,198615,7,0
1,NewOrder,1582799450.643922,180784,3,0
5,StockLevel,1582799450.645022,180194,2,0
2,Payment,1582799450.645028,173178,1,0
1,NewOrder,1582799450.646117,171914,8,0
2,Payment,1582799450.647345,171276,5,0
2,Payment,1582799450.648447,174361,8,0
1,NewOrder,1582799450.649545,209556,1,0
2,Payment,1582799450.650641,177342,5,0
2,Payment,1582799450.651736,176546,9,0
1,NewOrder,1582799450.652841,181341,8,0
1,NewOrder,1582799450.653936,196852,0,0
1,NewOrder,1582799450.653946,197945,3,0
2,Payment,1582799450.655091,173266,2,0
1,NewOrder,1582799450.656189,198992,5,0
2,Payment,1582799450.657285,182327,9,0
1,NewOrder,1582799450.658383,177125,2,0
1,NewOrder,1582799450.659478,196067,4,0
2,Payment,1582799450.660579,179102,8,0
5,StockLevel,1582799450.661682,191517,2,0
1,NewOrder,1582799450.662775,191150,9,0
1,NewOrder,1582799450.663837,191569,8,0
5,StockLevel,1582799450.664934,194882,7,0
2,Payment,1582799450.664946,194797,0,0
1,NewOrder,1582799450.666039,218903,3,0
2,Payment,1582799450.667136,189508,2,0
2,Payment,1582799450.668232,189968,9,0
1,NewOrder,1582799450.669322,216605,5,0
2,Payment,1582799450.670430,189169,8,0
2,Payment,1582799450.671529,187819,4,0
1,NewOrder,1582799450.672627,206586,2,0
5,StockLevel,1582799450.673728,191890,9,0
1,NewOrder,1582799450.674831,207247,1,0
2,Payment,1582799450.675929,194213,4,0
1,NewOrder,1582799450.675939,192298,8,0
1,NewOrder,1582799450.677031,206755,0,0
5,StockLevel,1582799450.678129,194635,7,0
2,Payment,1582799450.679227,190922,9,0
4,Delivery,1582799450.680326,248943,8,0
1,NewOrder,1582799450.681421,214912,6,0
1,NewOrder,1582799450.682516,214046,4,0
1,NewOrder,1582799450.683612,200896,9,0
1,NewOrder,1582799450.684708,212238,7,0
2,Payment,1582799450.685813,196173,2,0
1,NewOrder,1582799450.686906,220711,2,0
2,Payment,1582799450.688004,203596,1,0
3,OrderStatus,1582799450.688011,203286,0,0
2,Payment,1582799450.689104,202464,9,0
2,Payment,1582799450.690199,202961,3,0
4,Delivery,1582799450.691353,238009,5,0
2,Payment,1582799450.694066,205918,0,0
2,Payment,1582799450.694085,204972,9,0
1,NewOrder,1582799450.694089,229411,1,0
2,Payment,1582799450.695182,208288,3,0
1,NewOrder,1582799450.696291,207545,6,0
2,Payment,1582799450.697428,203287,4,0
1,NewOrder,1582799450.698530,240965,7,0
5,StockLevel,1582799450.699649,208996,9,0
4,Delivery,1582799450.700766,246951,0,0
2,Payment,1582799450.701838,201769,4,0
2,Payment,1582799450.702970,210564,3,0
1,NewOrder,1582799450.702975,207922,4,0
3,OrderStatus,1582799450.704070,203594,6,0
1,NewOrder,1582799450.705168,214729,2,0
1,NewOrder,1582799450.706327,215693,6,0
1,NewOrder,1582799450.707458,230441,9,0
2,Payment,1582799450.708556,206045,4,0
1,NewOrder,1582799450.709836,241612,3,0
2,Payment,1582799450.710934,209028,4,0
1,NewOrder,1582799450.710945,218210,2,0
2,Payment,1582799450.712371,222177,4,0
1,NewOrder,1582799450.713473,231825,6,0
2,Payment,1582799450.714576,216656,1,0
1,NewOrder,1582799450.715681,255541,2,0
2,Payment,1582799450.716820,219272,8,0
2,Payment,1582799450.717982,218117,5,0
1,NewOrder,1582799450.717987,248130,1,0
2,Payment,1582799450.719111,221742,4,0
2,Payment,1582799450.720207,220557,5,0
1,NewOrder,1582799450.721303,243719,8,0
2,Payment,1582799450.722401,225203,9,0
2,Payment,1582799450.723526,224078,7,0
1,NewOrder,1582799450.724629,245293,5,0
1,NewOrder,1582799450.725723,244823,4,0
2,Payment,1582799450.726857,226123,6,0
2,Payment,1582799450.727953,224107,7,0
1,NewOrder,1582799450.727958,251999,9,0
1,NewOrder,1582799450.729048,225795,0,0
2,Payment,1582799450.730151,225990,3,0
4,Delivery,1582799450.731253,278391,7,0
1,NewOrder,1582799450.732351,234825,6,0
2,Payment,1582799450.733448,227909,0,0
1,NewOrder,1582799450.734542,257245,3,0
1,NewOrder,1582799450.735642,242840,0,0
2,Payment,1582799450.736764,232413,8,0
4,Delivery,1582799450.737848,262469,1,0
1,NewOrder,1582799450.738948,250804,6,0
1,NewOrder,1582799450.738960,248879,8,0
2,Payment,1582799450.740053,240115,5,0
2,Payment,1582799450.741153,237327,4,0
1,NewOrder,1582799450.742251,267867,2,0
2,Payment,1582799450.743398,239707,0,0
2,Payment,1582799450.744547,245827,4,0
2,Payment,1582799450.745647,246487,9,0
1,NewOrder,1582799450.746748,247415,5,0
2,Payment,1582799450.747844,243056,0,0
2,Payment,1582799450.748942,243660,8,0
2,Payment,1582799450.748958,253659,6,0
1,NewOrder,1582799450.750053,257372,4,0
2,Payment,1582799450.751149,253278,0,0
1,NewOrder,1582799450.752244,272204,3,0
2,Payment,1582799450.753414,242325,9,0
1,NewOrder,1582799450.754512,268664,8,0
1,NewOrder,1582799450.755610,280079,5,0
1,NewOrder,1582799450.756705,256406,9,0
2,Payment,1582799450.757855,246551,1,0
1,NewOrder,1582799450.758954,264557,6,0
4,Delivery,1582799450.758960,277053,1,0
1,NewOrder,1582799450.760052,275012,0,0
1,NewOrder,1582799450.761147,268156,4,0
2,Payment,1582799450.762244,258511,7,0
1,NewOrder,1582799450.763344,275986,2,0
1,NewOrder,1582799450.764441,281475,9,0
1,NewOrder,1582799450.765536,287471,7,0
2,Payment,1582799450.766645,263934,8,0
1,NewOrder,1582799450.767843,271840,6,0
1,NewOrder,1582799450.768943,271361,3,0
2,Payment,1582799450.768955,265666,4,0
2,Payment,1582799450.770053,267832,8,0
3,OrderStatus,1582799450.771155,272207,4,0
1,NewOrder,1582799450.772258,283115,0,0
2,Payment,1582799450.773360,266765,5,0
2,Payment,1582799450.774458,264839,1,0
2,Payment,1582799450.775561,281501,8,0
5,StockLevel,1582799450.776668,268715,1,0
1,NewOrder,1582799450.777771,294451,2,0
2,Payment,1582799450.778846,282196,6,0
2,Payment,1582799450.779939,269031,5,0
2,Payment,1582799450.779949,264777,3,0
1,NewOrder,1582799450.781108,295328,4,0
2,Payment,1582799450.782212,266728,3,0
1,NewOrder,1582799450.783310,275773,1,0
2,Payment,1582799450.784642,277683,9,0
3,OrderStatus,1582799450.785896,267128,3,0
1,NewOrder,1582799450.786994,302986,5,0
5,StockLevel,1582799450.787001,280634,7,0
2,Payment,1582799450.789200,267067,3,0
1,NewOrder,1582799450.789205,286706,0,0
2,Payment,1582799450.790304,269755,3,0
2,Payment,1582799450.791445,273412,8,0
2,Payment,1582799450.792547,270168,1,0
4,Delivery,1582799450.793661,299200,3,0
1,NewOrder,1582799450.794769,287391,6,0
2,Payment,1582799450.795837,274851,9,0
2,Payment,1582799450.796939,269601,1,0
1,NewOrder,1582799450.796949,299513,8,0
3,OrderStatus,1582799450.798048,272640,1,0
1,NewOrder,1582799450.799146,288523,7,0
2,Payment,1582799450.800243,287343,9,0
1,NewOrder,1582799450.801395,283624,1,0
2,Payment,1582799450.802490,277658,2,0
1,NewOrder,1582799450.803680,308315,0,0
1,NewOrder,1582799450.804784,301968,4,0
1,NewOrder,1582799450.805921,309223,2,0
5,StockLevel,1582799450.807021,281677,6,0
2,Payment,1582799450.807027,282743,1,0
2,Payment,1582799450.808133,287763,9,0
1,NewOrder,1582799450.809231,300581,7,0
2,Payment,1582799450.810327,283230,6,0
1,NewOrder,1582799450.811455,291944,1,0
1,NewOrder,1582799450.812557,317615,5,0
1,NewOrder,1582799450.813658,292859,3,0
1,NewOrder,1582799450.814757,289537,6,0
1,NewOrder,1582799450.815844,324132,9,0
4,Delivery,1582799450.816943,358835,8,0
5,StockLevel,1582799450.816953,292656,1,0
2,Payment,1582799450.818178,297600,6,0
1,NewOrder,1582799450.819341,329135,3,0
2,Payment,1582799450.820444,293298,4,0
1,NewOrder,1582799450.821542,304905,1,0
2,Payment,1582799450.822641,296063,7,0
1,NewOrder,1582799450.823741,329599,0,0
1,NewOrder,1582799450.824837,309812,4,0
1,NewOrder,1582799450.825935,312337,2,0
1,NewOrder,1582799450.825945,308080,6,0
1,NewOrder,1582799450.827045,324744,7,0
2,Payment,1582799450.828142,301986,1,0
2,Payment,1582799450.829264,304826,1,0
5,StockLevel,1582799450.830444,312092,5,0
1,NewOrder,1582799450.831547,320465,6,0
1,NewOrder,1582799450.832647,317769,1,0
2,Payment,1582799450.833772,308781,4,0
1,NewOrder,1582799450.834842,325503,2,0
2,Payment,1582799450.835943,307458,9,0
1,NewOrder,1582799450.835953,346559,5,0
2,Payment,1582799450.837054,311400,4,0
2,Payment,1582799450.838151,321916,9,0
2,Payment,1582799450.839252,315643,4,0
2,Payment,1582799450.840355,316103,3,0
1,NewOrder,1582799450.841451,325806,1,0
1,NewOrder,1582799450.842580,340313,7,0
2,Payment,1582799450.843691,311706,6,0
2,Payment,1582799450.844822,317383,0,0
1,NewOrder,1582799450.845954,332745,4,0
1,NewOrder,1582799450.845970,322430,6,0
1,NewOrder,1582799450.847070,350495,3,0
4,Delivery,1582799450.848170,366435,9,0
4,Delivery,1582799450.849283,415706,2,0
2,Payment,1582799450.850379,320157,0,0
2,Payment,1582799450.851480,319366,1,0
2,Payment,1582799450.852572,320182,6,0
2,Payment,1582799450.853663,324623,0,0
1,NewOrder,1582799450.854764,329169,1,0
3,OrderStatus,1582799450.855842,321052,6,0
3,OrderStatus,1582799450.856939,326278,8,0
1,NewOrder,1582799450.856949,340599,6,0
2,Payment,1582799450.858043,328873,0,0
1,NewOrder,1582799450.859134,355435,4,0
2,Payment,1582799450.860232,331237,5,0
2,Payment,1582799450.861330,333817,7,0
1,NewOrder,1582799450.862436,349166,8,0
1,NewOrder,1582799450.863533,336475,1,0
1,NewOrder,1582799450.864690,355287,0,0
1,NewOrder,1582799450.865786,368668,5,0
4,Delivery,1582799450.866848,382008,7,0
2,Payment,1582799450.867952,333126,6,0
1,NewOrder,1582799450.867962,360698,3,0
2,Payment,1582799450.869713,334008,1,0
1,NewOrder,1582799450.870823,346347,6,0
1,NewOrder,1582799450.871928,340004,1,0
1,NewOrder,1582799450.871940,366832,8,0
1,NewOrder,1582799450.873083,353639,1,0
1,NewOrder,1582799450.874198,362232,4,0
2,Payment,1582799450.875394,342827,9,0
1,NewOrder,1582799450.876499,357322,6,0
1,NewOrder,1582799450.877599,368778,9,0
1,NewOrder,1582799450.878699,369809,0,0
1,NewOrder,1582799450.879830,363466,1,0
4,Delivery,1582799450.880920,418338,3,0
1,NewOrder,1582799450.882013,363772,6,0
3,OrderStatus,1582799450.882019,358054,5,0
1,NewOrder,1582799450.883116,370463,4,0
3,OrderStatus,1582799450.884211,361752,8,0
1,NewOrder,1582799450.885307,378742,5,0
2,Payment,1582799450.886521,360086,1,0
1,NewOrder,1582799450.887652,375619,6,0
1,NewOrder,1582799450.888763,400468,8,0
2,Payment,1582799450.889852,360054,9,0
2,Payment,1582799450.890951,359012,1,0
4,Delivery,1582799450.890962,425197,0,0
2,Payment,1582799450.892060,360408,7,0
2,Payment,1582799450.893165,360190,9,0
2,Payment,1582799450.894259,359310,1,0
2,Payment,1582799450.895357,361022,7,0
2,Payment,1582799450.896502,366579,9,0
2,Payment,1582799450.897604,359372,1,0
4,Delivery,1582799450.898706,464904,4,0
2,Payment,1582799450.899906,361577,7,0
1,NewOrder,1582799450.901036,365756,1,0
2,Payment,1582799450.901042,364002,7,0
2,Payment,1582799450.902139,376593,9,0
1,NewOrder,1582799450.903253,372989,6,0
1,NewOrder,1582799450.904356,386238,5,0
1,NewOrder,1582799450.905464,385414,2,0
1,NewOrder,1582799450.906574,370345,7,0
2,Payment,1582799450.907673,363951,1,0
1,NewOrder,1582799450.908776,375972,1,0
1,NewOrder,1582799450.909852,381789,6,0
4,Delivery,1582799450.910951,394610,7,0
2,Payment,1582799450.910957,371123,9,0
1,NewOrder,1582799450.912063,378832,9,0
2,Payment,1582799450.913167,375033,1,0
1,NewOrder,1582799450.914306,388252,1,0
1,NewOrder,1582799450.915415,409434,8,0
2,Payment,1582799450.916545,382505,5,0
2,Payment,1582799450.917639,377013,2,0
1,NewOrder,1582799450.918742,396656,9,0
2,Payment,1582799450.919871,375067,6,0
2,Payment,1582799450.920982,377883,2,0
3,OrderStatus,1582799450.920989,378715,6,0
5,StockLevel,1582799450.922149,395082,2,0
4,Delivery,1582799450.923267,443995,5,0
1,NewOrder,1582799450.924374,400086,3,0
2,Payment,1582799450.925531,378292,6,0
2,Payment,1582799450.926660,379478,1,0
1,NewOrder,1582799450.927765,394646,6,0
2,Payment,1582799450.928847,380422,7,0
2,Payment,1582799450.929974,381578,1,0
1,NewOrder,1582799450.929980,392274,7,0
2,Payment,1582799450.931124,385157,1,0
1,NewOrder,1582799450.932236,407792,9,0
1,NewOrder,1582799450.933333,406696,0,0
3,OrderStatus,1582799450.934431,385476,1,0
2,Payment,1582799450.935526,385177,2,0
1,NewOrder,1582799450.937260,393679,1,0
2,Payment,1582799450.937272,386670,2,0
5,StockLevel,1582799450.938371,389553,7,0
2,Payment,1582799450.939482,387812,6,0
2,Payment,1582799450.940595,386350,2,0
1,NewOrder,1582799450.941673,420892,3,0
2,Payment,1582799450.942777,388201,8,0
1,NewOrder,1582799450.943847,417252,2,0
1,NewOrder,1582799450.944948,408150,6,0
2,Payment,1582799450.944959,386580,7,0
2,Payment,1582799450.946055,388790,1,0
2,Payment,1582799450.947225,394329,8,0
5,StockLevel,1582799450.948334,388832,7,0
2,Payment,1582799450.949437,388996,1,0
1,NewOrder,1582799450.950540,401574,7,0
1,NewOrder,1582799450.951659,397446,1,0
2,Payment,1582799450.952766,395921,0,0
2,Payment,1582799450.953849,389868,9,0
5,StockLevel,1582799450.954945,401164,8,0
1,NewOrder,1582799450.954956,410633,9,0
2,Payment,1582799450.956059,400608,0,0
2,Payment,1582799450.957174,395622,1,0
2,Payment,1582799450.958310,397083,7,0
1,NewOrder,1582799450.959415,407270,1,0
2,Payment,1582799450.960625,403850,6,0
1,NewOrder,1582799450.961735,436917,7,0
2,Payment,1582799450.962850,400371,8,0
1,NewOrder,1582799450.963958,427546,0,0
2,Payment,1582799450.963965,400473,2,0
2,Payment,1582799450.965060,404755,3,0
1,NewOrder,1582799450.966228,430562,8,0
2,Payment,1582799450.967330,404383,4,0
2,Payment,1582799450.968436,402628,2,0
1,NewOrder,1582799450.969609,419809,6,0
2,Payment,1582799450.970733,406018,9,0
2,Payment,1582799450.971897,408512,1,0
1,NewOrder,1582799450.973023,423362,5,0
5,StockLevel,1582799450.973037,408034,3,0
2,Payment,1582799450.974148,402957,2,0
4,Delivery,1582799450.975261,488303,4,0
4,Delivery,1582799450.976365,477607,9,0
4,Delivery,1582799450.977472,472437,2,0
1,NewOrder,1582799450.978567,442937,1,0
2,Payment,1582799450.979673,408910,3,0
2,Payment,1582799450.980787,415801,3,0
2,Payment,1582799450.982544,420008,6,0
2,Payment,1582799450.982563,416477,0,0
2,Payment,1582799450.983668,420110,5,0
1,NewOrder,1582799450.984773,464141,3,0
1,NewOrder,1582799450.985843,440793,8,0
1,NewOrder,1582799450.986971,440527,7,0
1,NewOrder,1582799450.986977,445483,0,0
2,Payment,1582799450.988073,417808,6,0
2,Payment,1582799450.989174,422653,5,0
2,Payment,1582799450.990282,419002,6,0
2,Payment,1582799450.991381,420850,6,0
2,Payment,1582799450.992479,429371,5,0
2,Payment,1582799450.993617,430618,6,0
1,NewOrder,1582799450.994767,460028,1,0
2,Payment,1582799450.995840,433651,5,0
1,NewOrder,1582799450.996971,449083,6,0
2,Payment,1582799450.996985,435024,8,0
1,NewOrder,1582799450.998087,454175,7,0
5,StockLevel,1582799450.999191,438711,5,0
1,NewOrder,1582799451.000297,454569,8,0
1,NewOrder,1582799451.001404,458611,0,0
3,OrderStatus,1582799451.002513,439176,5,0
2,Payment,1582799451.003619,442572,5,0
1,NewOrder,1582799451.004730,455094,6,0
2,Payment,1582799451.005850,443422,5,0
2,Payment,1582799451.006954,455278,3,0
2,Payment,1582799451.006959,445334,5,0
2,Payment,1582799451.008061,448492,2,0
1,NewOrder,1582799451.009211,479006,7,0
1,NewOrder,1582799451.010306,456024,5,0
2,Payment,1582799451.011416,457476,9,0
1,NewOrder,1582799451.012526,484808,1,0
3,OrderStatus,1582799451.013634,447240,8,0
1,NewOrder,1582799451.014768,468068,2,0
1,NewOrder,1582799451.015868,456389,6,0
1,NewOrder,1582799451.016968,464935,0,0
1,NewOrder,1582799451.016973,472733,8,0
1,NewOrder,1582799451.022022,463733,3,0
2,Payment,1582799451.022079,451940,4,0
2,Payment,1582799451.022083,447498,5,0
2,Payment,1582799451.022085,464892,9,0
2,Payment,1582799451.022087,450473,5,0
4,Delivery,1582799451.023199,518866,6,0
3,OrderStatus,1582799451.024298,451615,5,0
2,Payment,1582799451.025407,456798,4,0
4,Delivery,1582799451.026513,479076,5,0
4,Delivery,1582799451.027617,523089,0,0
1,NewOrder,1582799451.028727,474728,4,0
2,Payment,1582799451.029838,461361,2,0
2,Payment,1582799451.030931,462479,3,0
1,NewOrder,1582799451.030940,485056,9,0
2,Payment,1582799451.032034,467074,7,0
1,NewOrder,1582799451.033133,492396,8,0
1,NewOrder,1582799451.034233,489388,2,0
2,Payment,1582799451.035335,466217,3,0
1,NewOrder,1582799451.036432,479765,1,0
1,NewOrder,1582799451.037530,502039,7,0
2,Payment,1582799451.038627,471113,3,0
2,Payment,1582799451.039721,471805,4,0
2,Payment,1582799451.040828,468209,5,0
2,Payment,1582799451.041926,471201,5,0
1,NewOrder,1582799451.041935,488307,3,0
1,NewOrder,1582799451.043026,513326,4,0
2,Payment,1582799451.044119,471969,5,0
1,NewOrder,1582799451.045221,497761,9,0
1,NewOrder,1582799451.046335,481037,5,0
1,NewOrder,1582799451.047438,507867,1,0
1,NewOrder,1582799451.048542,507216,2,0
1,NewOrder,1582799451.049638,495895,8,0
1,NewOrder,1582799451.050748,490131,5,0
1,NewOrder,1582799451.051847,517962,3,0
2,Payment,1582799451.052950,494306,7,0
1,NewOrder,1582799451.053021,498255,5,0
1,NewOrder,1582799451.054122,515392,6,0
2,Payment,1582799451.055218,491018,9,0
2,Payment,1582799451.056311,496907,8,0
2,Payment,1582799451.057491,491822,9,0
2,Payment,1582799451.058643,496938,7,0
3,OrderStatus,1582799451.059744,493231,9,0
1,NewOrder,1582799451.060842,528502,0,0
2,Payment,1582799451.061936,497518,5,0
1,NewOrder,1582799451.061942,519567,9,0
